Price,Model,CPU,Graphics,RAM,HDD,SSD,Display,Budget,Rate_From_10,Image_Url,Best_For,Final_Budget,Notes,Brand,Type
$4999,Asus ROG Zephyrus Duo i9,Core i9-10980HK,NVIDIA RTX 2080S 8GB,32GB,-,1TB,"15.6"" 3840x2160 IPS",High/Extreme-High,10,https://lappylist.com/images/2020_laptop/Asus_ROG_Zephyrus_Duo_i9.jpg,gaming,$4999 'High/Extreme-High',gaming,Asus,Top
$505,HP Pavilion x360 13,i5-7200U,Intel Graphics 620,8GB,500GB 5400RPM,-,"13.3"" 1920x1080 IPS Touch",Extreme-Low/Low,7,http://www.lappylist.com/images/laptop/HP%20Pavilion%20x360%2013.jpg,"ultraportable,convertible",$505 'Extreme-Low/Low',"ultraportable,convertible",HP,Top
$509,Asus Q504UA,i5-7200U,Intel Graphics 620,6GB,1TB 5400RPM,-,"13.3"" 1920x1080 IPS Touch",Extreme-Low/Low,8,http://lappylist.com/images/laptop/Asus%20Q503UA.jpg,"ultraportable,convertible",$509 'Extreme-Low/Low',"ultraportable,convertible",Asus,Top
$533,Dell Inspiron 13 2 in 1,i5-7200U,Intel Graphics 620,8GB,1TB 5400RPM,-,"13.3"" 1920x1080 IPS Touch",Extreme-Low/Low,7,http://lappylist.com/images/laptop/Dell%20Inspiron%2013%202%20in%201.jpg,"ultraportable,convertible",$533 'Extreme-Low/Low',"ultraportable,convertible",Dell,Top
$575,Acer Aspire V13,i5-6200U,HD Graphics 520,6GB,-,256GB,"13.3"" 1920x1080 IPS Touch",Extreme-Low/Low,6,http://lappylist.com/images/laptop/Acer%20Aspire%20V3-372T.jpg,ultraportable,$575 'Extreme-Low/Low',ultraportable,Acer,Top
$579,Acer Aspire E15-575G,i5-7200U,Nvidia 940MX,8GB,-,256GB,"15.6"" 1920x1080 TN",Extreme-Low/Low,6,http://lappylist.com/images/laptop/Acer%20Aspire%20E15-575G.jpg,mainstream,$579 'Extreme-Low/Low',mainstream,Acer,Top
$599,Acer Aspire E5-576G,i5-8250U,Nvidia MX150,8GB,-,256GB,"15.6"" 1920x1080 TN",Extreme-Low/Low,6,http://lappylist.com/images/laptop2018/Acer%20Aspire%20E5-576G.jpg,programming,$599 'Extreme-Low/Low',programming,Acer,Top
$599,Asus Vivobook F510UA,i5-8250U,Intel UHD Graphics 620,8GB,1TB 5400RPM,128GB,"15.6"" 1920x1080 IPS",Extreme-Low/Low,6,http://lappylist.com/images/laptop2018/Asus%20Vivobook%20F510UA.jpg,"programming,mainstream",$599 'Extreme-Low/Low',"programming,mainstream",Asus,Top
$599,Dell Inspiron 13 i5379,i5-8250U,Intel UHD Graphics 620,8GB,1TB 5400RPM,-,"13.3"" 1920x1080 IPS Touch",Extreme-Low/Low,7,http://lappylist.com/images/laptop2018/Dell%20Inspiron%2013%20i5379.jpg,"programming,convertible",$599 'Extreme-Low/Low',"programming,convertible",Dell,Top
$619,HP Envy 13,i5-7200U,Intel Graphics 620,8GB,-,256GB PCIe,"13.3"" 1920x1080 IPS",Extreme-Low/Low,8,http://lappylist.com/images/laptop/HP%20Envy%2013t.jpg,ultraportable,$619 'Extreme-Low/Low',ultraportable,HP,Top
$649,Asus Vivobook S410UA,i5-8250U,Intel UHD Graphics 620,8GB,1TB FireCuda,-,"14"" 1920x1080",Extreme-Low/Low,7,http://lappylist.com/images/laptop2018/Asus%20Vivobook%20S410UA.jpg,mainstream,$649 'Extreme-Low/Low',mainstream,Asus,Top
$689,Acer Nitro 5,Core i5-9300H,NVIDIA GTX 1650 8GB,8GB,-,256GB,"15.6"" 1920x1080 60hz IPS",Extreme-Low/Low,8,https://lappylist.com/images/2020_laptop/Acer_Nitro_5.jpg,gaming,$689 'Extreme-Low/Low',gaming,Acer,Top
$689,Lenovo ThinkPad E470*,i3-7100U,Intel Graphics 620,4GB,500GB 7200RPM,-,"14"" 1920x1080 IPS",Extreme-Low/Low,6,http://lappylist.com/images/laptop/Lenovo%20ThinkPad%20E460.jpg,programming,$689 'Extreme-Low/Low',programming,Lenovo,Top
$699,Acer Swift 3 14,i5-8250U,Nvidia MX150,8GB,-,256GB,"14"" 1920x1080 IPS",Extreme-Low/Low,8,http://lappylist.com/images/laptop2018/Acer%20Swift%203.jpg,mainstream,$699 'Extreme-Low/Low',mainstream,Acer,Top
